choice_response.corr,s_adjust.thisIndex,xResolution,SJ_trials_skip.thisIndex,SJ_trials_after.thisN,cont_0.keys,cont_2.keys,s_adjust.thisN,cont_3.keys,participant,SJ_trials_after.thisIndex,cond,__datetime,SJ_trials_after.ran,choice_response.rt,trials.ran,response_distortion.corr,group,cont_5.rt,key_resp.rt,entity2,psychopyVersion,attribute1,choice_response.keys,cont_6.rt,SJ_trials_before.thisN,imagePath2,exit.rt,SJ_trials_before.thisIndex,key_resp.keys,SJ_trials_between.thisTrialN,SJ_trials_after.thisRepN,s_adjust.ran,training.thisIndex,s_adjust.thisRepN,cont_2.rt,SJ_trials_between.thisN,trials.thisN,SJ_trials_before.thisRepN,__participant,corrAns_synchronicity,training.thisRepN,SJ_trials_before.ran,target_loc,trials.thisTrialN,cont_4.rt,sentence_id,response_sync.rt,videoPath,cont_5.keys,SJ_trials_skip.thisTrialN,globalClockTime,cont_3.rt,response_distortion.keys,SJ_trials_between.thisIndex,id,cont_7.rt,block_counter_choice,SJ_trials_skip.thisN,cont_0.rt,expName,response_sync.keys,echo,trials.thisIndex,date,corrAns_distortion,show_attribute,cont_6.keys,entity1,corrAns_choice,SJ_trials_between.ran,SJ_trials_between.thisRepN,SJ_trials_skip.ran,cont_4.keys,trial_counter_choice,verb,trials.thisRepN,researcher,training.thisN,latency,SJ_trials_after.thisTrialN,training.thisTrialN,cont_7.keys,OS,cont_1.keys,frameRate,yResolution,cont_1.rt,imagePos,s_adjust.thisTrialN,response_sync.corr,item,block_counter_sj,attribute2,browser,trial_counter_sj,imagePath,SJ_trials_skip.thisRepN,__session,corrAns,sentence,response_distortion.rt,__experimentName,fill_attribute,trial_counter_training,exit.keys,training.ran,SJ_trials_before.thisTrialN,Name_optional
﻿,0,1920,,,return,,0,,5,,,2021-04-07_10h24.20.769,,,,,0,,,,2021.1.2,,,,,,,,,,,1,,0,,,,,5,,,,,,,,,,,,,,,,test,,,,49.705610000004526,av_experiment,,,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,,,,,Win32,return,59.898173105695214,1080,4.554124999966007,,0,,,,,Chrome,,,,SESSION,,,,av_experiment,,,,,,
﻿1,,1920,,,,return,,return,5,,4,2021-04-07_10h24.20.769,,9.138604999985546,,,0,1.1138800000189804,,bräutigam,2021.1.2,dick,left,,,images/bräutigam.png,,,,,,,3,,2.6836500000208616,,,,5,,0,,1,,0.9517700000433251,,,choice_videos/4_072.mp4,return,,,1.033724999986589,,,test,,,,,av_experiment,,400,,2021-04-07_10h24.20.769,,,,mönch,,,,,return,,tröstet,,aron,0,0,,0,,Win32,,59.898173105695214,1080,,,,,159,,hübsch,Chrome,,images/mönch.png,,SESSION,,Den dicken Mönch tröstet der hübsche Bräutigam.,,av_experiment,alt,,,1,,
﻿1,,1920,,,,,,,5,,1,2021-04-07_10h24.20.769,,6.14865499996813,,,0,,,kobold,2021.1.2,rüde,left,,,images/kobold.png,,,,,,,1,,,,,,5,,0,,1,,,,,choice_videos/1_016.mp4,,,,,,,test,,,,,av_experiment,,0,,2021-04-07_10h24.20.769,,,,cowboy,,,,,,,jagt,,aron,1,10,,1,,Win32,,59.898173105695214,1080,,,,,146,,frech,Chrome,,images/cowboy.png,,SESSION,,Der rüde Cowboy jagt den frechen Kobold.,,av_experiment,rüde,,,1,,
﻿0,,1920,,,,,,,5,,3,2021-04-07_10h24.20.769,,3.6907549999887124,,,0,,,riese,2021.1.2,flink,left,,,images/riese.png,,,,,,,0,,,,,,5,,0,,0,,,,,choice_videos/3_011.mp4,,,,,,,test,,,,,av_experiment,,10,,2021-04-07_10h24.20.769,,,,zwerg,,,,,,,fesselt,,aron,2,0,,2,,Win32,,59.898173105695214,1080,,,,,143,,träge,Chrome,,images/zwerg.png,,SESSION,,Der flinke Zwerg fesselt den trägen Riesen.,,av_experiment,alt,,,1,,
﻿0,,1920,,,,,,,5,,2,2021-04-07_10h24.20.769,,4.048764999955893,,,0,,,pilot,2021.1.2,alt,left,,,images/pilot.png,,,,,,,2,,,,,,5,,0,,0,,,,,choice_videos/2_055.mp4,,,,,,,test,,,,,av_experiment,,0,,2021-04-07_10h24.20.769,,,,pfarrer,,,,,,,grüßt,,aron,3,400,,3,,Win32,,59.898173105695214,1080,,,,,152,,klug,Chrome,,images/pfarrer.png,,SESSION,,Den alten Pfarrer grüßt der kluge Pilot.,,av_experiment,dick,,,1,,
﻿,,1920,,,,,,,5,,1,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,2.2868100000196137,0,,,1,,,,,,,,,,0,5,,,1,,,,,1.381569999968633,sj_videos/1_083.mp4,,,,,right,,test,2.1780150000122376,,,,av_experiment,right,0,,2021-04-07_10h24.20.769,,,return,,,,,,,,,,aron,,10,,,return,Win32,,59.898173105695214,1080,,,,0,2,,,Chrome,,,,SESSION,,"Der Maler, der die Vampire beschattet, gähnt.",0.2889500000164844,av_experiment,,,,,0,
﻿,,1920,,,,,,,5,,2,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,,1,,,7,,,,,,,,,,0,5,,,1,,,,,1.4516200000070967,sj_videos/2_089.mp4,,,,,right,,test,,,,,av_experiment,left,0,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,400,,,,Win32,,59.898173105695214,1080,,,,1,8,,,Chrome,,,,SESSION,,"Der Bräutigam, der die Riesen ersticht, lacht.",0.3785149999894202,av_experiment,,,,,1,
﻿,,1920,,,,,,,5,,4,2021-04-07_10h24.20.769,,,,0,0,,,,2021.1.2,,,,2,,,4,,,,,,,,,,0,5,,,1,,,,,0.4669949999661185,sj_videos/4_086.mp4,,,,,right,,test,,,,,av_experiment,left,400,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,0,,,,Win32,,59.898173105695214,1080,,,,0,5,,,Chrome,,,,SESSION,,"Der Frisör, der die Bäcker erschießt, niest.",0.36706999997841194,av_experiment,,,,,2,
﻿,,1920,,,,,,,5,,0,2021-04-07_10h24.20.769,,,,0,0,,,,2021.1.2,,,,3,,,5,,,,,,,,,,0,5,,,1,,,,,1.1768799999845214,sj_videos/0_087.mp4,,,,,left,,test,,,,,av_experiment,right,0,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,0,,,,Win32,,59.898173105695214,1080,,,,1,6,,,Chrome,,,,SESSION,,"Der Frisör, der die Köchinnen erschießt, grinst.",0.42288999998709187,av_experiment,,,,,3,
﻿,,1920,,,,,,,5,,2,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,,4,,,2,,,,,,,,,,0,5,,,1,,,,,0.809914999990724,sj_videos/2_084.mp4,,,,,right,,test,,,,,av_experiment,left,0,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,400,,,,Win32,,59.898173105695214,1080,,,,1,3,,,Chrome,,,,SESSION,,"Der Lehrer, der die Models bestiehlt, zittert.",0.44130499998573214,av_experiment,,,,,4,
﻿,,1920,,,,,,,5,,4,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,,5,,,9,,,,,,,,,,0,5,,,1,,,,,0.13414499995997176,sj_videos/4_091.mp4,,,,,left,,test,,,,,av_experiment,right,400,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,0,,,,Win32,,59.898173105695214,1080,,,,1,10,,,Chrome,,,,SESSION,,"Der Richter, der die Radfahrer erwürgt, weint.",0.41650499997194856,av_experiment,,,,,5,
﻿,,1920,,,,,,,5,,3,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,,6,,,8,,,,,,,,,,0,5,,,1,,,,,1.041399999987334,sj_videos/3_090.mp4,,,,,left,,test,,,,,av_experiment,right,10,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,0,,,,Win32,,59.898173105695214,1080,,,,1,9,,,Chrome,,,,SESSION,,"Der Maler, der die Witwen ersticht, zittert.",0.6754450000007637,av_experiment,,,,,6,
﻿,,1920,,,,,,,5,,0,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,,7,,,0,,,,,,,,,,0,5,,,1,,,,,0.734085000003688,sj_videos/0_082.mp4,,,,,right,,test,,,,,av_experiment,right,0,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,0,,,,Win32,,59.898173105695214,1080,,,,1,1,,,Chrome,,,,SESSION,,"Der Punker, der die Maler beschattet, niest.",0.28377499995986,av_experiment,,,,,7,
﻿,,1920,,,,,,,5,,3,2021-04-07_10h24.20.769,,,,0,0,,,,2021.1.2,,,,8,,,3,,,,,,,,,,0,5,,,1,,,,,0.0033600000315345824,sj_videos/3_085.mp4,,,,,right,,test,,,,,av_experiment,right,10,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,0,,,,Win32,,59.898173105695214,1080,,,,1,4,,,Chrome,,,,SESSION,,"Der Mönch, der die Astronauten erschießt, lacht.",0.3003500000340864,av_experiment,,,,,8,
﻿,,1920,,,,,,,5,,1,2021-04-07_10h24.20.769,,,,1,0,,,,2021.1.2,,,,9,,,6,,,,,,,,,,0,5,,,1,,,,,0.5870799999684095,sj_videos/1_088.mp4,,,,,right,,test,,,,,av_experiment,left,0,,2021-04-07_10h24.20.769,,,,,,,,,,,,,aron,,10,,,,Win32,,59.898173105695214,1080,,,,1,7,,,Chrome,,,,SESSION,,"Der Koch, der die Touristinnen erschießt, niest.",0.31245999998645857,av_experiment,,,,,9,
﻿1,,1920,,,,,,,5,,4,2021-04-07_10h24.20.769,,3.3895299999858253,1,,0,,,kapitän,2021.1.2,arm,left,,,images/kapitän.png,,,,,,,,,,,0,,5,,,,1,0,,,,choice_videos/4_079.mp4,,,,,,,test,,,,,av_experiment,,400,0,2021-04-07_10h24.20.769,,,,matrose,,,,,,,weckt,0,aron,,0,,,,Win32,,59.898173105695214,1080,,,,,139,,groß,Chrome,,images/matrose.png,,SESSION,,Den armen Matrosen weckt der große Kapitän.,,av_experiment,klein,,,,,
﻿1,,1920,,,,,,,5,,0,2021-04-07_10h24.20.769,,1.868465000006836,1,,0,,,elch,2021.1.2,taub,right,,,images/elch.png,,,,,,,,,,,1,,5,,,,0,1,,,,choice_videos/0_007.mp4,,,,,,,test,,,,,av_experiment,,0,1,2021-04-07_10h24.20.769,,,,elefant,,,,,,,fängt,0,aron,,0,,,,Win32,,59.898173105695214,1080,,,,,10,,müde,Chrome,,images/elefant.png,,SESSION,,Der taube Elefant fängt den müden Elch.,,av_experiment,schlau,,,,,
