videoPath,SJ_trials_skip.thisRepN,SJ_trials_after.thisIndex,SJ_trials_between.ran,SJ_trials_before.thisRepN,training.thisTrialN,trials.thisTrialN,SJ_trials_between.thisIndex,attribute2,s_adjust.thisRepN,SJ_trials_skip.thisTrialN,response_distortion.keys,cont_6.keys,response_distortion.rt,browser,key_resp.rt,SJ_trials_between.thisN,SJ_trials_skip.thisIndex,s_adjust.thisTrialN,exit.rt,SJ_trials_before.thisIndex,cont_0.rt,trials.thisN,cont_5.keys,cont_7.keys,id,key_resp.keys,psychopyVersion,echo,choice_response.keys,latency,response_sync.corr,item,response_sync.rt,SJ_trials_skip.ran,exit.keys,cont_3.rt,SJ_trials_between.thisTrialN,OS,training.ran,SJ_trials_after.thisRepN,imagePath2,cont_0.keys,__participant,xResolution,participant,target_loc,SJ_trials_after.thisN,cont_5.rt,date,choice_response.corr,cont_1.keys,__session,entity2,training.thisN,SJ_trials_before.ran,trials.thisRepN,SJ_trials_skip.thisN,SJ_trials_after.thisTrialN,SJ_trials_between.thisRepN,imagePath,choice_response.rt,cond,__experimentName,cont_2.keys,sentence,yResolution,SJ_trials_before.thisN,verb,cont_1.rt,trials.ran,response_distortion.corr,s_adjust.thisIndex,attribute1,entity1,cont_4.keys,cont_2.rt,response_sync.keys,__datetime,cont_3.keys,cont_7.rt,trials.thisIndex,researcher,SJ_trials_after.ran,training.thisIndex,SJ_trials_before.thisTrialN,training.thisRepN,group,s_adjust.ran,s_adjust.thisN,fill_attribute,cont_4.rt,frameRate,expName,cont_6.rt
﻿,,,,,,,,,0,,,,,Chrome,,,,0,,,49.705610000004526,,,,test,,2021.1.2,,,,,,,,,,,Win32,,,,return,5,1920,5,,,,2021-04-07_10h24.20.769,,return,SESSION,,,,,,,,,,,av_experiment,,,1080,,,4.554124999966007,,,0,,,,,,2021-04-07_10h24.20.769,,,,aron,,,,,0,1,0,,,59.898173105695214,av_experiment,
﻿choice_videos/4_072.mp4,,,,,0,,,hübsch,,,,,,Chrome,,,,,,,,,return,,test,,2021.1.2,400,left,0,,159,,,,1.033724999986589,,Win32,1,,images/bräutigam.png,,5,1920,5,1,,1.1138800000189804,2021-04-07_10h24.20.769,1,,SESSION,bräutigam,0,,,,,,images/mönch.png,9.138604999985546,4,av_experiment,return,Den dicken Mönch tröstet der hübsche Bräutigam.,1080,,tröstet,,,,,dick,mönch,return,2.6836500000208616,,2021-04-07_10h24.20.769,return,,,aron,,3,,0,0,,,alt,0.9517700000433251,59.898173105695214,av_experiment,
﻿choice_videos/1_016.mp4,,,,,1,,,frech,,,,,,Chrome,,,,,,,,,,,test,,2021.1.2,0,left,10,,146,,,,,,Win32,1,,images/kobold.png,,5,1920,5,1,,,2021-04-07_10h24.20.769,1,,SESSION,kobold,1,,,,,,images/cowboy.png,6.14865499996813,1,av_experiment,,Der rüde Cowboy jagt den frechen Kobold.,1080,,jagt,,,,,rüde,cowboy,,,,2021-04-07_10h24.20.769,,,,aron,,1,,0,0,,,rüde,,59.898173105695214,av_experiment,
﻿choice_videos/3_011.mp4,,,,,2,,,träge,,,,,,Chrome,,,,,,,,,,,test,,2021.1.2,10,left,0,,143,,,,,,Win32,1,,images/riese.png,,5,1920,5,0,,,2021-04-07_10h24.20.769,0,,SESSION,riese,2,,,,,,images/zwerg.png,3.6907549999887124,3,av_experiment,,Der flinke Zwerg fesselt den trägen Riesen.,1080,,fesselt,,,,,flink,zwerg,,,,2021-04-07_10h24.20.769,,,,aron,,0,,0,0,,,alt,,59.898173105695214,av_experiment,
﻿choice_videos/2_055.mp4,,,,,3,,,klug,,,,,,Chrome,,,,,,,,,,,test,,2021.1.2,0,left,400,,152,,,,,,Win32,1,,images/pilot.png,,5,1920,5,0,,,2021-04-07_10h24.20.769,0,,SESSION,pilot,3,,,,,,images/pfarrer.png,4.048764999955893,2,av_experiment,,Den alten Pfarrer grüßt der kluge Pilot.,1080,,grüßt,,,,,alt,pfarrer,,,,2021-04-07_10h24.20.769,,,,aron,,2,,0,0,,,dick,,59.898173105695214,av_experiment,
﻿sj_videos/1_083.mp4,,,,0,,,,,,,right,return,0.2889500000164844,Chrome,,,,,,1,,,,return,test,,2021.1.2,0,,10,0,2,1.381569999968633,,,,,Win32,,,,,5,1920,5,,,,2021-04-07_10h24.20.769,,,SESSION,,,1,,,,,,,1,av_experiment,,"Der Maler, der die Vampire beschattet, gähnt.",1080,0,,,,1,,,,,,right,2021-04-07_10h24.20.769,,2.1780150000122376,,aron,,,0,,0,,,,,59.898173105695214,av_experiment,2.2868100000196137
﻿sj_videos/2_089.mp4,,,,0,,,,,,,right,,0.3785149999894202,Chrome,,,,,,7,,,,,test,,2021.1.2,0,,400,1,8,1.4516200000070967,,,,,Win32,,,,,5,1920,5,,,,2021-04-07_10h24.20.769,,,SESSION,,,1,,,,,,,2,av_experiment,,"Der Bräutigam, der die Riesen ersticht, lacht.",1080,1,,,,1,,,,,,left,2021-04-07_10h24.20.769,,,,aron,,,1,,0,,,,,59.898173105695214,av_experiment,
﻿sj_videos/4_086.mp4,,,,0,,,,,,,right,,0.36706999997841194,Chrome,,,,,,4,,,,,test,,2021.1.2,400,,0,0,5,0.4669949999661185,,,,,Win32,,,,,5,1920,5,,,,2021-04-07_10h24.20.769,,,SESSION,,,1,,,,,,,4,av_experiment,,"Der Frisör, der die Bäcker erschießt, niest.",1080,2,,,,0,,,,,,left,2021-04-07_10h24.20.769,,,,aron,,,2,,0,,,,,59.898173105695214,av_experiment,
﻿sj_videos/0_087.mp4,,,,0,,,,,,,left,,0.42288999998709187,Chrome,,,,,,5,,,,,test,,2021.1.2,0,,0,1,6,1.1768799999845214,,,,,Win32,,,,,5,1920,5,,,,2021-04-07_10h24.20.769,,,SESSION,,,1,,,,,,,0,av_experiment,,"Der Frisör, der die Köchinnen erschießt, grinst.",1080,3,,,,0,,,,,,right,2021-04-07_10h24.20.769,,,,aron,,,3,,0,,,,,59.898173105695214,av_experiment,
﻿sj_videos/2_084.mp4,,,,0,,,,,,,right,,0.44130499998573214,Chrome,,,,,,2,,,,,test,,2021.1.2,0,,400,1,3,0.809914999990724,,,,,Win32,,,,,5,1920,5,,,,2021-04-07_10h24.20.769,,,SESSION,,,1,,,,,,,2,av_experiment,,"Der Lehrer, der die Models bestiehlt, zittert.",1080,4,,,,1,,,,,,left,2021-04-07_10h24.20.769,,,,aron,,,4,,0,,,,,59.898173105695214,av_experiment,
